name,category,subcategory,address,city,country_code,latitude,longitude,website,phone,source_record_id
Müller,tiendas,cards_and_stationery_store,Olympiaplatz 1,Vienna,AT,48.208152770996094,16.420551300048828,https://www.mueller.at/meine-filiale/,0591205607,3e97f91f-0494-400c-b382-28780cd2f8bf
Dr. Christian Kellner,salud,vision_or_eye_care_clinic,Gertrude-Wondrack-Platz 2/1.01,Vienna,AT,48.16549301147461,16.32632064819336,https://www.augenarzt-kellner.at/,+4318137510,518d2551-39dd-47f6-ae48-c729a8c61750
Lola,restaurantes,tapas_bar,Gonzagagasse 14,Vienna,AT,48.215457916259766,16.37040138244629,http://www.lolatapas.at/,+4315323071,b2d73676-5fbb-4124-81f0-4a44e0d89451
DIE KLINIK - piercing | tattoo | permanent make up,belleza,piercing,Mariahilfer Straße 45/Top 50,Vienna,AT,48.199546813964844,16.355846405029297,https://bodypiercing.co.at/,013332444,cb72c1d8-6d61-4cb9-80b2-e9416ee9d465
Lu&me,salud,cosmetic_surgery,Rosenackerstraße 58/3,Vienna,AT,48.22498321533203,16.298810958862305,https://www.luandme.at/,,00d103d3-b36d-4308-a5dc-d6cefd74a089
Klejch Fly Fishing & Outdoor by Secret Rivers,tiendas,hunting_and_fishing_store,Thaliastraße 112,Vienna,AT,48.2120475769043,16.31625747680664,http://www.klejch.at/,+4314802361,e8c1aab6-cf5a-4f43-929a-9e0a630439e3
Mosquito Mexican Restaurant Cocktailbar,restaurantes,mexican_restaurant,Margaretenstraße 76,Vienna,AT,48.192386627197266,16.360107421875,http://www.mosquitorestaurant.com,+4319719489,51e2c23f-5182-4ed5-841b-8a37fffde199
Ihr Labor 1140,salud,diagnostic_imaging,Linzer Straße 73,Vienna,AT,48.1929931640625,16.311182022094727,https://1140.ihrlabor.at/,019826464,3b21df42-ea82-46fc-8802-704a092a440e
Ballon Center Österreich,servicios,balloon_service,Mitisgasse 22 top 3-4,Vienna,AT,48.19541549682617,16.293682098388672,http://ballon-center-osterreich.business.site/,069913141116,faf08ca9-03a2-4811-bd0f-ad7a51d42335
Univ. Prof. Dr. med. Richard Frey,salud,psychiatry,"Hernalser Hauptstraße 15, DG",Vienna,AT,48.21683883666992,16.33957290649414,https://www.rfrey-psychatrie.at/,06641028130,8ecf3b62-b5f1-46f6-adcf-ea46228926e9
Osteopathie & Schmerztherapie 1090 - Prim. Dr. Gerhard Vavrovsky,salud,osteopathic_medicine,Höfergasse 1a Stiege 2/Tür 04,Vienna,AT,48.21641159057617,16.349811553955078,https://www.osteopathie1090.at/,069912450557,d91f48e0-3424-4450-bfda-eff5919a2df8
Blautöne,servicios,broadcasting_media_production,Mariahilfer Str. 51/2/1,Vienna,AT,48.199676513671875,16.354049682617188,http://www.blautoene.at,+4315851873,947933ef-2958-4315-b50f-3935c37a679f
Ordination Dr. Christina Geier,salud,homeopathy,Donau-City-Strasse 12/1/31,Vienna,AT,48.23406219482422,16.412372589111328,http://www.drgeier.com/,068110582877,f0b5b376-ebcb-47d7-b2cb-69afa46a046b
