name,category,subcategory,address,city,country_code,latitude,longitude,website,phone,source_record_id
Regie der Gebouwen,servicios,property_management,Av. de la Toison d'Or 87/b2,Brussels,BE,50.833717346191406,4.351156234741211,https://www.regiedesbatiments.be/,+3225416511,a2679fe5-8a88-4a83-8509-3b5d77f0faf7
Dior,tiendas,fashion_boutique,61 Boulevard De Waterloo,Brussels,BE,50.83642578125,4.355564594268799,https://www.dior.com/fashion/stores/en_int/belgium/brussels/61-boulevard-de-waterloo?utm_source=Yext&utm_medium=FacebookStoreLocator,+3225001818,ec22b71c-ee52-4f0a-9fc9-a4a05de6f83b
Belgian Waffles,restaurantes,waffle_restaurant,Rue du Marché aux Poulets 51,Brussels,BE,50.84841537475586,4.35109806060791,https://www.tripadvisor.com/Restaurant_Review-g188644-d26524104-Reviews-Belgian_Waffles-Brussels.html,0493 96 75 28,01ef9d92-aaba-4cd4-8442-b1f970a71810
Dr Jean-Nicolas Serpe - Ophtalmologue et Chirurgie au laser des yeux,salud,outpatient_care_facility,Avenue Louise 199,Brussels,BE,50.82692337036133,4.363883972167969,https://www.doctorserpe.com/,026481201,c09978ae-7965-437a-aef9-7b4a13ff7417
Acerta Brussel - Ondernemingsloket en Sociaal Verzekeringsfonds - Zelfstandige (worden),servicios,payroll_service,Louizalaan 123A,Brussels,BE,50.83013916015625,4.3605756759643555,https://www.acerta.be/nl/kantoren/acerta-brussel-louizalaan,023332720,65bb01ee-e0b1-4bc3-8679-2e4458295617
DKV Belgium,servicios,insurance_agency,Rue de Loxum 25,Brussels,BE,50.84661865234375,4.358377456665039,http://www.dkv.be,+3222876411,6ae72e97-a016-4287-a14f-1e39768be7ea
Holy Sunshine,belleza,tattoo_and_piercing,Rue des Chartreux 4,Brussels,BE,50.84876251220703,4.347260475158691,,+3225135131,295d59ec-4ce3-4a78-ab18-194d13058a9f
Tai Chi Wellness Centre,salud,acupuncture,Rue Archimède 48,Brussels,BE,50.845458984375,4.383665561676025,http://www.taichiwellnesscentre-bruxelles.com/,+32471838512,b812ac45-6d00-4673-aaec-be04fbcb7f13
Cave 1929,tiendas,liquor_store,Rue de Rollebeek 38,Brussels,BE,50.84172821044922,4.353573799133301,http://www.cave1929.com/,+3225023237,aa4bd3f8-70d5-4186-b1b6-f0158f724772
Leonela Harghel Nails Art Academy,belleza,nail_salon,Rue de Wand 31,Brussels,BE,50.89643096923828,4.358216762542725,http://www.leonails.be/,+32466439581,e3db77f9-2672-4d10-b857-9aab5d69c0d6
Az Solutions,servicios,b2b_international_trade_service,Boulevard du Midi 125,Brussels,BE,50.83538818359375,4.342849254608154,http://azrental.be/,0489658564,c3f1d989-8ddf-4ee1-9a50-01165028402b
L'Artisan Couturier,servicios,sewing_and_alterations,Rue de la Reinette 3,Brussels,BE,50.839168548583984,4.360958576202393,http://lartisancouturier.be,+3225112655,8eed2d0c-e1a8-4a92-9502-3f652c1a037d
Brasserie Breughel,restaurantes,brasserie,146 Boulevard du Midi / Zuidlaan 146,Brussels,BE,50.833431243896484,4.344847202301025,http://www.brasseriebreughel.be,02 534 59 76,a94d4cda-3697-401f-807d-e3fcda47a12a
Cabinet Dentaire Louise,salud,general_dentistry,Av. Louise 391,Brussels,BE,50.8200798034668,4.3701958656311035,https://kids-dental.be/,+3226496272,dd1d4ff5-8556-4500-a7da-ce128eb17338
Psychiatrie et Psychologie Médicale,salud,hospital,Be,Brussels,BE,50.88945388793945,4.330960273742676,https://www.chu-brugmann.be,,eb6a8768-9199-42b3-9b45-5ad3c4cdbfbc
Jeux d'Hiver,servicios,private_association,Chemin du Croquet 1,Brussels,BE,50.811676025390625,4.372943878173828,http://linktr.ee/jeuxdhiver,+3226490864,cdc86fce-50c1-435c-9f4c-99c449d40398
"Müjgan, the mother of kebab",restaurantes,doner_kebab_restaurant,Nieuwstraat 123,Brussels,BE,50.85442352294922,4.357909679412842,https://mujgan.be/,+3222621115,093987a4-908b-4c78-9015-8c757ddb3db2
Didier & Rosalinde,belleza,hair_salon,Av. Louise 101,Brussels,BE,50.83108139038086,4.35950231552124,http://www.didieretrosalinde.be/,+3226479300,e68008ff-697c-4334-8398-9a945342c70c
ING,servicios,bank_or_credit_union,Rdpt Robert Schuman 8,Brussels,BE,50.8420524597168,4.384378910064697,https://www.ing.be,+3224646002,6f951e10-2040-4b26-abc6-cf1c7c01f856
Lotus spa💆,belleza,spa,Rue de Trèves 122,Brussels,BE,50.84353256225586,4.375434398651123,http://www.lotus-spa.be,+32492626261,9586ffe7-875c-4a93-aa74-0971a8044d66
La Taverne du Passage,restaurantes,belgian_restaurant,Galerie de la Reine 30,Brussels,BE,50.84757614135742,4.354670524597168,http://latavernedupassage.be/,+3225121413,a2a17720-ddc8-47c8-85aa-9f62812df927
Artipose,servicios,paving_contractor,Boulevard Emile Bockstael 418,Brussels,BE,50.88391876220703,4.344640254974365,http://www.artipose.be/,0483625880,494f2858-7bcf-4cc5-8d1b-1e9083e328eb
Les Larmes du Tigre,restaurantes,thai_restaurant,Rue de Wynants 21,Brussels,BE,50.83562088012695,4.350658893585205,http://www.leslarmesdutigre.be/,+3225121877,343a1bdb-91b6-43c5-b9a5-3d02f758d327
Vanden Borre,tiendas,electronics_store,Rue Neuve 123,Brussels,BE,50.8547477722168,4.358353137969971,https://www.vandenborre.be/fr/magasins/detail/bruxelles-city-2,+3222180258,3d8fbb44-cf06-498d-9585-be08644b8c73
Paul Tucker Personal Training,belleza,life_coach,Rue du Parlement 5,Brussels,BE,50.84797286987305,4.365117073059082,http://paul-tucker.com/,+32477414084,c2f74fab-4a08-4486-8a43-e5b193a2d1e4
Centre des brûlés/ Brandwondencentrum,salud,hospital,Rue Bruyn 2,Brussels,BE,50.906307220458984,4.390231609344482,,+3224432438,5d40d607-8e4b-49eb-8eb5-a57b64dc599a
Chanel Fragrance and Beauty Corner,belleza,spa,Av. Louise 12,Brussels,BE,50.835113525390625,4.356105804443359,http://www.chanel.com/?y_source=1_MjQ1MzczNzgtNTU5LWxvY2F0aW9uLndlYnNpdGU%3D,+3225138494,bc847c9f-be4e-4bed-83f4-5f64adf8561b
Vetocambre,belleza,veterinarian,Av. Louise 176,Brussels,BE,50.8281135559082,4.363480567932129,http://www.vetocambre.com/,+3226462208,8c7f3d30-5385-456a-a5f6-86d9e23640f7
JD Sports,tiendas,sporting_goods_store,"48, Rue Neuve 50",Brussels,BE,50.85190963745117,4.354526042938232,http://www.jdsports.be/,+3227930923,a2854780-dd28-4a49-a1cd-6076977ec3ff
Domino's Pizza,restaurantes,pizza_restaurant,Bd du Jardin Botanique 2,Brussels,BE,50.85581970214844,4.355748176574707,https://www.dominos.be/fr?utm_source=facebook&utm_medium=local&utm_campaign=yext,+3222011000,521818fa-b6b6-453f-b782-1f40d957f840
Medical Center Zavelput,salud,outpatient_care_facility,Rue François Vekemans 213,Brussels,BE,50.894622802734375,4.3832855224609375,,+3222668855,ff3a9ed5-aab8-4c59-9201-3ac6942dc1df
Stellantis & You Spare Parts,tiendas,auto_dealer,Av. de Vilvorde 162,Brussels,BE,50.88608169555664,4.390346527099609,https://www.stellantisandyou.com/fr/nos-concessionnaires/peugeot-stellantis-you-business-2024/?utm_campaign=presence_management&utm_medium=SM_NPP&utm_source=presence_management_website_button,+3278151011,074dd668-02ef-4cae-93a0-40264981b696
Greentage,tiendas,nursery_and_gardening_store,Rue du Noyer 283,Brussels,BE,50.84379959106445,4.39575719833374,,+32484301088,bd3fe92a-fc79-4fcd-94de-390c76661885
Simont Braun,servicios,business_law,"The Hype, Avenue Louise 250 (10)",Brussels,BE,50.82520294189453,4.366579532623291,https://simontbraun.eu/,025437080,33fedec9-5bb4-4a29-891c-3b933310656e
Rio do Texas,restaurantes,steakhouse,Av. de Stalingrad 118,Brussels,BE,50.83952331542969,4.341958045959473,https://www.riodotexas.com,+32470034778,f3f9fa2b-3517-436f-810f-246e1e790e4c
Dentiste Bruxelles Dental Zen,salud,dental_clinic,Rue Antoine Dansaert 191/193,Brussels,BE,50.85281753540039,4.3424177169799805,,+32471664104,2e5b780e-f526-41b1-b8e1-618b2e8c6074
Crevette Records,tiendas,music_and_dvd_store,Rue Blaes 146,Brussels,BE,50.837860107421875,4.347531795501709,http://www.crevetterecords.be/,+3225141146,f95bce1d-6ed2-4fab-a763-fece63a27495
Brussels Physiotherapy,salud,physical_therapy,Bd Clovis 2,Brussels,BE,50.84783935546875,4.38262939453125,https://www.brusselsphysiotherapist.com/,+32470911960,e6539202-b06a-4922-a3ec-e5ea808c982f
Maison RITUAL piercing,belleza,tattoo_and_piercing,Galerie du Centre 21,Brussels,BE,50.84880447387695,4.35235071182251,http://ritualpiercing.org,+3222181440,92d6aa72-7d5b-466c-a9c5-57f339312605
MU / Mercuri Urval,servicios,b2b_executive_search_consultants,"Avenue de Tervueren 270, The Gradient",Brussels,BE,50.835235595703125,4.420668125152588,https://www.mercuriurval.com/nl-be/,027150999,835c4b1a-ad66-49d5-8894-e872afa336e9
Inksane Brussels,belleza,tattoo_and_piercing,Rue du Congrès 33,Brussels,BE,50.84933853149414,4.366432189941406,http://www.inksane.be/,+32473234264,41b1e2d4-efb6-44c3-9d8b-c6984d7a2d9e
Medical Home Cité Santé,salud,outpatient_care_facility,Av. des Amandiers 10,Brussels,BE,50.89635467529297,4.328185558319092,https://www.citesante.be/,+3224760004,bc0b2eb0-f0c9-48ad-a593-d32f5fde389d
