name,category,subcategory,address,city,country_code,latitude,longitude,website,phone,source_record_id
MELT,restaurantes,speakeasy,Malmskillnadsgatan 45,Stockholm,SE,59.337059020996094,18.0648250579834,http://www.meltbar.se,+4686446760,e8544d06-abcd-4681-88a9-2dffc0d021eb
Newshape Clinic,belleza,waxing,Alströmergatan 2,Stockholm,SE,59.335514068603516,18.032873153686523,https://www.newshape-clinic.com/,+46868438888,015082a7-3810-454d-a2e6-1102be95ac92
Sabis Kafé Passagen,restaurantes,cafe,Olof Palmes Gata  17,Stockholm,SE,59.33523941040039,18.058500289916992,https://www.sabis.se/restauranger-cafeer/vara-foretagsrestauranger/unionen/,08 504 166 60,e4cca548-6e0f-483d-a39d-c3a4b9fedc08
MDS Butik,tiendas,car_stereo_store,Nioörtsvägen 46,Stockholm,SE,59.30025100708008,18.0123233795166,http://www.mds.se/,+46850087250,68710a05-d1c4-426f-bb57-88b5e9ec9323
Hattbaren,tiendas,hat_store,Götgatan 39,Stockholm,SE,59.31582260131836,18.072582244873047,http://www.hattbaren.se,+4686413388,4290d3d3-e606-4256-a949-08732e344b09
Läxhjälp.com,belleza,personal_or_beauty_service,Scheelegatan 8,Stockholm,SE,59.32970428466797,18.043561935424805,https://läxhjälp.com/,0840914500,1cfb2564-3fca-49e7-9ffd-f59859855e4a
Clas Ohlson,tiendas,home_improvement_store,Karlaplan 13,Stockholm,SE,59.338890075683594,18.090932846069336,https://www.clasohlson.com/se/?utm_source=google_business&utm_medium=organic&utm_campaign=266,+4624744500,816341e5-4c3e-40ba-b667-02af8d966eca
Capio,salud,pediatric_clinic,Bränningevägen 2,Stockholm,SE,59.29833221435547,18.050094604492188,https://capio.se/hitta-mottagning/primarvard/barnavardscentraler/arsta/,+46 8-120 00 915,01f00c7c-d562-4654-84e7-76ed98d5ef7d
Högdalens simhall,servicios,pool_cleaning,Rangstaplan 2,Stockholm,SE,59.26457977294922,18.041309356689453,http://www.bowlingpalatzet.se,+46850845695,9e3af8a6-fff2-4e3d-b3ec-3970bda83e75
Lulu,restaurantes,sushi_restaurant,Pontonjärgatan 28,Stockholm,SE,59.329376220703125,18.030935287475586,https://www.restauranglulu.se/,08-58006059,cadc341d-d63a-49a4-96a0-1fe3c05906e6
Orchidé Massage & Spa,belleza,massage_therapy,Fatburs Brunnsgata 13,Stockholm,SE,59.314109802246094,18.066360473632812,https://www.orchidemassage.se/,+4686581099,bab41fe9-8771-4bf9-ba16-4ed0883cca1d
Nikita Hair,belleza,hair_stylist,Norrlandsgatan 13,Stockholm,SE,59.33436965942383,18.070743560791016,https://nikitahair.se/,0851816510,f15d7d87-79aa-425c-b864-4e7b22f962de
WKB Västberga,restaurantes,buffet_restaurant,Västberga Allé 36A,Stockholm,SE,59.29390335083008,18.01097869873047,http://www.wkb.se/,+468185035,1c26ab40-3e12-4be1-b6df-1c4c8c5d93d7
Medioteket,tiendas,educational_supply_store,Trekantsvägen 3,Stockholm,SE,59.313934326171875,18.024112701416016,https://sliplay.se/medioteket/play,+46850832800,c1278b31-430a-4f6f-b559-420ed0b2eec4
"Respaces - Sök, jämför och hyr kontor, coworking, och mötesrum online",servicios,coworking_space,Styrmansgatan 43,Stockholm,SE,59.3353271484375,18.08736801147461,http://respaces.co/,,e772d3ec-9701-4f6d-a2d7-6d4ce17dcce8
Walter Borg jakt & fritid,tiendas,gun_and_ammo_store,"Kungsgatan 57b, Stockholm, 111 22, Sweden",Stockholm,SE,59.3339729309082,18.05738067626953,http://www.walterborg.se,046-814 38 65,b211acbc-87e9-4fc7-9d41-6e521099dfcd
BB Stockholm Ultraljud,salud,midwifery,Regeringsgatan 48,Stockholm,SE,59.33439254760742,18.068044662475586,https://www.bbstockholm.se/bb-stockholm-ultraljudsmottagning-city#gsc.tab=0,08-12055500,90d7f669-d47f-48c8-bcc1-04400bc778dc
Smink och Perukmakarn Söder,tiendas,wig_store,Köpmantorget 1,Stockholm,SE,59.32523727416992,18.073776245117188,http://www.sminkochperukmakarn.com/,+4686431112,4f2dcfb1-4b93-4822-8472-3f4c8bb2e0b7
SeniorNet Södermalm,restaurantes,internet_cafe,Rosenlundsgatan 44A,Stockholm,SE,59.31344985961914,18.0571346282959,https://snso.se/,+4686948233,348eea62-fcbc-4ca3-b8e4-a8a86501e344
Coop,tiendas,grocery_store,Hälsingegatan 57-59,Stockholm,SE,59.34795379638672,18.03666877746582,https://www.coop.se/016041,010-7419950,0765649d-a8a4-4b81-866b-7fffdc74b5e3
Center för sinnesstimulering - Lagunen,salud,rehabilitation_center,"Olivecronas väg 5, Sabbatsbergs sjukhus, Hiss B, våning 4",Stockholm,SE,59.3383674621582,18.04729461669922,https://www.habilitering.se/om-oss/vara-mottagningar/lagunen/,08-123 351 31,d2e4bcc4-72cf-4049-a0ff-f1abb6641a59
Evidensia Djurkliniken Farsta,belleza,veterinarian,Munkforsplan 27,Stockholm,SE,59.24217224121094,18.09417724609375,https://evidensia.se/klinik/djurkliniken-farsta-centrum-evidensia/,+4686048070,55061d50-e263-432c-a230-92b9d6b73210
Södersjukhuset,salud,hospital,Sjukhusbacken 10,Stockholm,SE,59.309959411621094,18.055927276611328,http://www.sodersjukhuset.se,+46812361000,1813e591-974a-4eae-b157-397770f92e29
Cobi Rehab,tiendas,medical_supply_store,Rålambsvägen 17,Stockholm,SE,59.32817077636719,18.016366958618164,https://www.cobirehab.com/sv/,087029774,5545ea8f-cf82-4f8c-96e8-17639daf4333
Doktor24 Vård & Vaccin,salud,allergy_and_immunology,Drottningholmsvägen 14,Stockholm,SE,59.33234405517578,18.030719757080078,https://doktor24.se/,0812420004,12201892-533c-4fe5-88fc-d6c063ecc9fd
Ecigg City,tiendas,smoke_and_vape_store,Sveavägen 96,Stockholm,SE,59.341983795166016,18.057598114013672,http://eciggcity.se/,+468886070,f577d6fc-977f-4b98-8f60-88af95f00e2e
BAUHAUS,tiendas,hardware_store,Karlsbodavägen 2,Stockholm,SE,59.35420608520508,17.96173858642578,https://www.bauhaus.se/varuhus/bromma,+46101801800,08b45408-9a79-4b79-b17c-d9967c01ec6d
ERTH,tiendas,butcher_shop,Sergelgatan 29,Stockholm,SE,59.33402633666992,18.062597274780273,http://www.erth.se/,+4686627772,101eb5da-194c-4c68-8e60-170d6b70f2c5
Vinsta solfilm,servicios,windows_installation,isafjordsgatan 38a,Stockholm,SE,59.40617370605469,17.945878982543945,http://vinstasolfilm.se/,+46812054386,68b469f9-0a38-4df0-ad83-1c64abe5ee3c
Brazilian Wax Studio,belleza,waxing,Kungsgatan 23,Stockholm,SE,59.336029052734375,18.067893981933594,http://www.brazilianwaxstudios.se/,+46769169237,65ca374f-2084-4aba-904c-2c1202ff8ef5
Bergevall Ramar,tiendas,framing_store,Högbergsgatan 25A,Stockholm,SE,59.31675338745117,18.074254989624023,https://bergevallramar.se/,086434792,85cce515-a5ee-4dbe-8f05-ea6595eb9ef0
Audionova,tiendas,hearing_aid_store,"Vartoftagatan 11, Södermalm",Stockholm,SE,59.311588287353516,18.072763442993164,https://butiker.audionova.se/stockholm/vartoftagatan-11.html?utm_source=Yext&utm_medium=Extended_Network&utm_campaign=Yext_Listings&y_source=1_MTIxNjkwMjQtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,0848001207,3ff08492-63f7-4dbf-9dff-3f58f409cea6
Hälsa Utan Gränser,belleza,health_spa,Idungatan 14,Stockholm,SE,59.34775161743164,18.04569435119629,http://www.halsautangranser.se/,+46706850341,3dc32d4b-ee61-408e-9123-d70a46ce8ee8
Nordea Finans,servicios,installment_loans,Lindhagensgatan 112,Stockholm,SE,59.33626937866211,18.011560440063477,https://www.nordea.se,+46101572000,617e2d9b-4374-4e75-9a00-14d36eea8224
Svensk Dykerhistorik Forening,tiendas,dive_store,Djurgårdsstrand 7,Stockholm,SE,59.327117919921875,18.093521118164062,https://www.sdhf.se,,d8cdf9fc-0ab2-483f-9dbd-735d864a73e6
Prime,servicios,public_relations,Slussplan 9,Stockholm,SE,59.321956634521484,18.073528289794922,https://primewebershandwick.com/,+46850314600,9fde1973-256c-444b-8df1-7dc1b018fdc5
& Other Stories,tiendas,beauty_supply_store,Biblioteksgatan 11,Stockholm,SE,59.335269927978516,18.072525024414062,https://www.stories.com/en_sek/,+46-8-4405290,72693026-6cc7-4eb0-9377-d21ae48878ff
SugarMe Esthetics,belleza,sugaring,Armfeltsgatan 25,Stockholm,SE,59.34391403198242,18.09113311767578,http://www.sugarme.se,+46103300460,dda95418-ef17-46c5-8b04-226ac53761aa
Rena Tassar,belleza,pet_groomer,Nicandervägen 5,Stockholm,SE,59.333740234375,18.01085662841797,https://renatassar.bokadirekt.se/,+46707108232,30f70694-ddba-48f5-8eaf-ca3234ad5218
Lulu,restaurantes,restaurant,Bondegatan 97 B,Stockholm,SE,59.31262969970703,18.098878860473633,https://www.restauranglulu.se/,08-130700,0db22749-ad04-4ec7-a713-757664688f47
